year	value	sec	name
1975	28	39	Christa Valensieck
1976	28	39	Christa Valensieck
1977	27	15	Loa Olafsson
1978	28	55	Dana Slater
1979	29	07	Dana Slater
1980	27	48	Heide Hutterer
1981	26	45	Rosa Mota
1982	47	21	Rosa Mota
1983	43	44	Rosa Mota
1984	43	35	Rosa Mota
1985	43	00	Rosa Mota
1986	43	45	Rosa Mota
1987	46	27	Martha Thenório
1988	42	12	Aurora Cunha
1989	43	52	Maria Del Carmen Diaz
1990	43	16	Maria Del Carmen Diaz
1991	54	02	Maria Luisa Servin
1992	54	00	Maria Del Carmen Diaz
1993	50	26	Hellen Kimayio
1994	51	17	Derartu Tulu
1995	50	53	Carmen Oliveira
1996	52	32	Roseli Machado
1997	52	03	Martha Thenório
1998	51	35	Olivera Jevtic
1999	51	29	Lydia Cheromei
2000	50	33	Lydia Cheromei
2001	52	09	Maria Zeferina Baldaia
2002	54	02	Marizete de Paula Rezende
2003	51	24	Margaret Okayo
2004	52	58	Lydia Cheromei
2005	51	37	Olivera Jevtic
2006	51	23	Lucélia Peres
2007	51	37	Alice Timbilili
2008	51	37	Yimer Wude Ayalew
2009	52	30	Pasalia Kipkoech Chepkorir
2010	50	19	Alice Timbilili
2011	48	48	Priscah Jeptoo
2012	51	42	Maurine Kipchumba
2013	51	58	Nancy Kipron